
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
 39      1.88413251148608  2.61e-01      3.84914173148694  5.34e-01      1.48115429888436  2.05e-01      7.21442854185738  1.00e+00
 40      3.66175524574063  5.09e-01      5.09842228397731  7.08e-01     -1.56327329025522 -2.17e-01      7.19690423946272  1.00e+00
 41     12.02587929979516  2.05e+00     15.25559734958033  2.60e+00    -21.40613775390777 -3.64e+00      5.87533889546772  1.00e+00
 42     15.63915065608031  2.65e+00     18.77965906694565  3.18e+00    -28.51109518511828 -4.83e+00      5.90771453790768  1.00e+00
 43     20.78669810541867  3.63e+00     23.30072448947404  4.07e+00    -38.36327282757422 -6.70e+00      5.72414976731849  1.00e+00
 44     12.28047115928170  2.13e+00     17.38240004283010  3.02e+00    -23.90773648405985 -4.15e+00      5.75513471805195  1.00e+00
 45      4.18585242303867  7.21e-01      9.54489747511426  1.64e+00     -7.92652812093092 -1.37e+00      5.80422177722201  1.00e+00
 46      2.04701487428998  3.52e-01      7.72842974101076  1.33e+00     -3.96735569872537 -6.83e-01      5.80808891657537  1.00e+00
 47      0.15738228067916  2.71e-02      5.95835583449266  1.02e+00     -0.30243307933064 -5.20e-02      5.81330503584119  1.00e+00
 48      0.07258708487232  1.25e-02      5.88174182006493  1.01e+00     -0.14091115808477 -2.42e-02      5.81341774685248  1.00e+00
 49      0.00212796507621  3.66e-04      5.81557513929316  1.00e+00     -0.00415789257558 -7.15e-04      5.81354521179379  1.00e+00
 50      0.00098891073179  1.70e-04      5.81449820287898  1.00e+00     -0.00194090016372 -3.34e-04      5.81354621344705  1.00e+00
 51      0.00003774499107  6.49e-06      5.81358485750036  1.00e+00     -0.00007532657805 -1.30e-05      5.81354727591339  1.00e+00
 52      0.00002944112669  5.06e-06      5.81357661071067  1.00e+00     -0.00005876870811 -1.01e-05      5.81354728312925  1.00e+00
 53      0.00002558129697  4.40e-06      5.81357274202939  1.00e+00     -0.00005103354761 -8.78e-06      5.81354728977875  1.00e+00
 54      0.00001774892163  3.05e-06      5.81356495168170  1.00e+00     -0.00003540705140 -6.09e-06      5.81354729355194  1.00e+00
 55      0.00001181301209  2.03e-06      5.81355905653311  1.00e+00     -0.00002357204640 -4.05e-06      5.81354729749879  1.00e+00
