        0.0000000000       38.3904098935       38.3905333477       38.3905333477       38.3907803013       38.3907803013       38.3909038009       40.8546369516       40.8548580933       40.8548580933       40.8553004437
       -0.1000000000       38.0090072711       38.0091247091       38.0091247091       38.0093596271       38.0093596271       38.0094771070       40.4585815143       40.4587959920       40.4587959920       40.4592250108
       -0.2000000000       37.6384812834       37.6385929794       37.6385929794       37.6388164102       37.6388164102       37.6389281450       40.0731762092       40.0733843010       40.0733843010       40.0738005447
       -0.3000000000       37.2795255038       37.2796317229       37.2796317229       37.2798441967       37.2798441967       37.2799504516       39.6991005174       39.6993024915       39.6993024915       39.6997064967
       -0.4000000000       36.9297565109       36.9298575090       36.9298575090       36.9300595380       36.9300595380       36.9301605691       39.3339563393       39.3341524544       39.3341524544       39.3345447387
       -0.5000000000       36.5915255420       36.5916215660       36.5916215660       36.5918136447       36.5918136447       36.5919096994       38.9800796564       38.9802701616       38.9802701616       38.9806512236
       -0.6000000000       36.2669481836       36.2670394721       36.2670394721       36.2672220774       36.2672220774       36.2673133941       38.6395702333       38.6397553685       38.6397553685       38.6401256882
       -0.7000000000       35.9467535502       35.9468403331       35.9468403331       35.9470139248       35.9470139248       35.9471007337       38.3031408118       38.3033208078       38.3033208078       38.3036808468
       -0.8000000000       35.6458252749       35.6459077735       35.6459077735       35.6460727948       35.6460727948       35.6461553175       37.9856581223       37.9858332007       37.9858332007       37.9861834028
       -0.9000000000       35.3478035591       35.3478819868       35.3478819868       35.3480388645       35.3480388645       35.3481173145       37.6707449592       37.6709153331       37.6709153331       37.6712561244
       -1.0000000000       35.0650891776       35.0651637397       35.0651637397       35.0653128844       35.0653128844       35.0653874671       37.3707842155       37.3709500893       37.3709500893       37.3712818791
       -1.1000000000       34.7933699673       34.7934408613       34.7934408613       34.7935826682       34.7935826682       34.7936535813       37.0814454080       37.0816069780       37.0816069780       37.0819301587
       -1.2000000000       34.5195417685       34.5196091842       34.5196091842       34.5197440332       34.5197440332       34.5198114666       36.7896056582       36.7897631125       36.7897631125       36.7900780606
       -1.3000000000       34.2782477802       34.2783119001       34.2783119001       34.2784401562       34.2784401562       34.2785042925       36.5298890937       36.5300426128       36.5300426128       36.5303496893
       -1.4000000000       34.0322227068       34.0322837061       34.0322837061       34.0324057199       34.0324057199       34.0324667344       36.2650110446       36.2651608013       36.2651608013       36.2654603522
       -1.5000000000       33.7933328685       33.7933909154       33.7933909154       33.7935070235       33.7935070235       33.7935650845       36.0068182086       36.0069643688       36.0069643688       36.0072567258
       -1.6000000000       33.5817006369       33.5817558929       33.5817558929       33.5818664181       33.5818664181       33.5819216873       35.7754131449       35.7755558677       35.7755558677       35.7758413490
       -1.7000000000       33.3651135594       33.3651661794       33.3651661794       33.3652714315       33.3652714315       33.3653240636       35.5385634608       35.5387028988       35.5387028988       35.5389818097
       -1.8000000000       33.1524889385       33.1525390709       33.1525390709       33.1526393469       33.1526393469       33.1526894905       35.3051664551       35.3053027548       35.3053027548       35.3055753887
       -1.9000000000       32.9742475717       32.9742953588       32.9742953588       32.9743909435       32.9743909435       32.9744387411       35.1056229245       35.1057562269       35.1057562269       35.1060228658
       -2.0000000000       32.7908203081       32.7908658863       32.7908658863       32.7909570525       32.7909570525       32.7910026405       34.9003437872       34.9004742282       34.9004742282       34.9007351436
       -2.1000000000       32.6021285293       32.6021720293       32.6021720293       32.6022590386       32.6022590386       32.6023025478       34.6892306315       34.6893583420       34.6893583420       34.6896137961
       -2.2000000000       32.4507371409       32.4507786880       32.4507786880       32.4508617909       32.4508617909       32.4509033467       34.5148287730       34.5149538798       34.5149538798       34.5152041262
       -2.3000000000       32.3041698321       32.3042095465       32.3042095465       32.3042889832       32.3042889832       32.3043287057       34.3446425785       34.3447652046       34.3447652046       34.3450104890
       -2.4000000000       32.1520973294       32.1521353260       32.1521353260       32.1522113269       32.1522113269       32.1522493312       34.1683237800       34.1684440448       34.1684440448       34.1686846068
       -2.5000000000       32.0020672850       32.0021036744       32.0021036744       32.0021764603       32.0021764603       32.0022128568       33.9934014201       33.9935194406       33.9935194406       33.9937555137
       -2.6000000000       31.8960382449       31.8960731330       31.8960731330       31.8961429159       31.8961429159       31.8961778107       33.8618158714       33.8619317621       33.8619317621       33.8621635753
       -2.7000000000       31.7842558786       31.7842893671       31.7842893671       31.7843563506       31.7843563506       31.7843898455       33.7237951115       33.7239089852       33.7239089852       33.7241367641
       -2.8000000000       31.6666357217       31.6666679085       31.6666679085       31.6667322883       31.6667322883       31.6667644812       33.5792375051       33.5793494732       33.5793494732       33.5795734409
       -2.9000000000       31.5533487076       31.5533796870       31.5533796870       31.5534416516       31.5534416516       31.5534726368       33.4382973677       33.4384075410       33.4384075410       33.4386279192
       -3.0000000000       31.4855037785       31.4855336414       31.4855336414       31.4855933728       31.4855933728       31.4856232412       33.3420676018       33.3421760911       33.3421760911       33.3423931012
       -3.1000000000       31.4115618534       31.4115906877       31.4115906877       31.4116483615       31.4116483615       31.4116772011       33.2389936844       33.2391006007       33.2391006007       33.2393144648
       -3.2000000000       31.3314343927       31.3314622835       31.3314622835       31.3315180702       31.3315180702       31.3315459661       33.1289722439       33.1290776993       33.1290776993       33.1292886414
       -3.3000000000       31.2450316541       31.2450586843       31.2450586843       31.2451127496       31.2451127496       31.2451397847       33.0118993250       33.0120034329       33.0120034329       33.0122116801
       -3.4000000000       31.2121249230       31.2121511734       31.2121511734       31.2122036788       31.2122036788       31.2122299340       32.9475326232       32.9476354992       32.9476354992       32.9478412828
