       0.0	         13.12743140         13.31799691         13.42763765         14.96274091
      -0.2	         12.68653040         12.86252349         12.96350727         14.48505165
      -0.4	         12.22922499         12.39147733         12.48436403         13.98968719
      -0.6	         11.75461517         11.90398614         11.98934084         13.47547125
      -0.8	         11.26174986         11.39912010         11.47751081         12.94111175
      -1.0	         10.74964439         10.87591699         10.94791700         12.38530269
      -1.2	         10.21724539         10.33333361         10.39951490         11.80657136
      -1.4	          9.66344995          9.77027342          9.83120419         11.20338053
      -1.6	          9.08712474          9.18561195          9.24186104         10.57418451
      -1.8	          8.48708250          8.57816912          8.63031067          9.91743495
      -2.0	          7.86207162          7.94669719          7.99531043          9.23153138
      -2.2	          7.21076992          7.28987872          7.33554315          8.51478221
      -2.4	          6.53176763          6.60631216          6.64967058          7.76599463
      -2.6	          5.82359525          5.89453975          5.93625537          6.98344738
      -2.8	          5.08483717          5.15332937          5.19391566          6.16364586
      -3.0	          4.31333514          4.38012983          4.42070812          5.31015973
      -3.2	          3.50754529          3.57436153          3.61558754          4.41445247
      -3.4	          2.66480941          2.73272873          2.77603309          3.48066038
      -3.6	          1.78360919          1.85283642          1.89989040          2.50937866
      -3.8	          0.85751072          0.93201063          0.98569791          1.48913718
      -4.0	         -0.11453019         -0.03475611          0.02969199          0.42986293
      -4.2	         -1.13858392         -1.05352939         -0.97111423         -0.67100731
      -4.4	         -2.22061267         -2.13335314         -2.02067485         -1.81055675
      -4.6	         -3.36706362         -3.28508893         -3.12361998         -2.98494215
      -4.8	         -4.55965717         -4.49739552         -4.27813364         -4.18794788
      -5.0	         -5.84156512         -5.79378757         -5.49896617         -5.44093090
      -5.2	         -7.23320900         -7.19005472         -6.80276292         -6.76412160
      -5.4	         -8.66743929         -8.62765506         -8.16698550         -8.14230232
      -5.6	        -10.16982972        -10.12917110         -9.60317112         -9.58852101
      -5.8	        -11.69395561        -11.63532282        -11.08361120        -11.07959083
      -6.0	        -13.32602649        -13.26311505        -12.66403961        -12.66329001
      -6.2	        -15.02019478        -14.95358738        -14.31270720        -14.31262863
      -6.4	        -16.77939208        -16.71199265        -16.02789850        -16.02773197
      -6.6	        -18.60235455        -18.53573114        -17.80744982        -17.80720332
      -6.8	        -20.48717607        -20.42278319        -19.65004242        -19.64979098
      -7.0	        -22.43472386        -22.37329665        -21.55565089        -21.55544946
      -7.2	        -24.44700653        -24.38904014        -23.52449712        -23.52437363
      -7.4	        -26.57277694        -26.51426772        -25.57568607        -25.57566932
      -7.6	        -28.65711151        -28.60972116        -27.64807352        -27.64804041
      -7.8	        -30.90582510        -30.84595225        -29.82109882        -29.82108389
      -8.0	        -33.16707949        -33.10639926        -32.03751261        -32.03749815
      -8.2	        -35.48806383        -35.42699351        -34.31365820        -34.31364529
      -8.4	        -37.82163789        -37.79571039        -36.65978969        -36.65977306
      -8.6	        -40.26936600        -40.24694562        -39.06605649        -39.06604294
      -8.8	        -42.77589586        -42.75960284        -41.53377014        -41.53375821
      -9.0	        -45.39694125        -45.33071851        -44.03609199        -44.03608010
      -9.2	        -48.02881136        -47.96099942        -46.61990091        -46.61988901
      -9.4	        -50.67184700        -50.66432609        -49.29478790        -49.29476749
      -9.6	        -53.42695706        -53.42153918        -52.00067349        -52.00064757
      -9.8	        -56.29394419        -56.22091666        -54.73728848        -54.73727832
     -10.0	        -59.12183975        -59.11920071        -57.59255294        -57.59251762
