       0.0	         63.33709312         63.33714077         63.33727397         66.15327722
      -0.2	         62.33138079         62.33142314         62.33154563         65.12094300
      -0.4	         61.30967727         61.30971337         61.30982657         64.07165625
      -0.6	         60.27155643         60.27158714         60.27169122         63.00517088
      -0.8	         59.21657988         59.21660571         59.21670176         61.92103241
      -1.0	         58.14428658         58.14430860         58.14439774         60.81869784
      -1.2	         57.05461584         57.05463237         57.05471296         59.69771679
      -1.4	         55.94665619         55.94666896         55.94674336         58.55744686
      -1.6	         54.82026345         54.82027222         54.82034053         57.39727063
      -1.8	         53.67471512         53.67472182         53.67478524         56.21695233
      -2.0	         52.50992473         52.50992847         52.50998686         55.01565255
      -2.2	         51.32521122         51.32521253         51.32526684         53.79298477
      -2.4	         50.12014764         50.12014832         50.12019844         52.54843672
      -2.6	         48.89419127         48.89419324         48.89423933         51.28120420
      -2.8	         47.64716064         47.64716413         47.64720550         49.99104128
      -3.0	         46.37826371         46.37826799         46.37830621         48.67707891
      -3.2	         45.08698444         45.08698888         45.08702543         47.33870919
      -3.4	         43.77317257         43.77317718         43.77321161         45.97588707
      -3.6	         42.43598680         42.43599100         42.43602472         44.58720175
      -3.8	         41.07505324         41.07505671         41.07509037         43.17279201
      -4.0	         39.68992877         39.68993117         39.68996514         41.73164902
      -4.2	         38.27984886         38.27984987         38.27988560         40.26290578
      -4.4	         36.84455809         36.84455865         36.84459582         38.76662549
      -4.6	         35.38322328         35.38322562         35.38326464         37.24135821
      -4.8	         33.89564911         33.89565366         33.89569408         35.68745735
      -5.0	         32.38087836         32.38088518         32.38092891         34.10332013
      -5.2	         30.83848563         30.83849504         30.83854301         32.48873104
      -5.4	         29.26780473         29.26781709         29.26787050         30.84270428
      -5.6	         27.66812744         27.66814312         27.66820372         29.16476723
      -5.8	         26.03873505         26.03875472         26.03882472         27.45360540
      -6.0	         24.37910434         24.37913061         24.37920919         25.70691232
      -6.2	         22.68736586         22.68738845         22.68748219         23.93229877
      -6.4	         20.96356498         20.96358909         20.96370048         22.11742017
      -6.6	         19.20624206         19.20626686         19.20639856         20.26565326
      -6.8	         17.41385355         17.41393528         17.41409292         18.36720388
      -7.0	         15.58409536         15.58420614         15.58441762         16.43656723
      -7.2	         13.71546893         13.71561678         13.71590485         14.46585508
      -7.4	         11.80522697         11.80542505         11.80582779         12.45285587
      -7.6	          9.85304042          9.85309895          9.85359066         10.40729891
      -7.8	          7.85101503          7.85109291          7.85177647          8.30567183
      -8.0	          5.78741070          5.78794009          5.78922885          6.14016030
      -8.2	          3.67018183          3.67091425          3.67285889          3.93833979
      -8.4	          1.48999300          1.49095389          1.49380789          1.68598623
      -8.6	         -0.72217985         -0.72183747         -0.71862469         -0.58894050
      -8.8	         -3.07634079         -3.07509457         -3.06896072         -2.98054167
      -9.0	         -5.46683720         -5.46590403         -5.45726391         -5.39467100
      -9.2	         -7.84955521         -7.84944552         -7.84078460         -7.77307579
      -9.4	        -10.46053414        -10.46038896        -10.44813498        -10.38297301
      -9.6	        -13.06010865        -13.06008750        -13.04640769        -12.96992299
      -9.8	        -15.60699191        -15.60620700        -15.59391969        -15.39453902
     -10.0	        -18.32186180        -18.32109248        -18.30616548        -18.05841028
