       0.0	         13.42693073         15.37122338         16.84654224         17.40232355         17.57557282         18.89447941
      -0.2	         12.96277679         14.87274414         16.33604551         16.87426383         17.01411620         18.35153208
      -0.4	         12.48360156         14.35827340         15.81254917         16.33001356         16.43950760         17.79534603
      -0.6	         11.98853616         13.82667737         15.27540862         15.76834559         15.85134124         17.22522093
      -0.8	         11.47665237         13.27669205         14.72392666         15.18788781         15.24919131         16.64037281
      -1.0	         10.94699098         12.70699098         14.15737351         14.58717780         14.63268057         16.03997834
      -1.2	         10.39850549         12.11608231         13.57493817         13.96458019         14.00136535         15.42307954
      -1.4	          9.83009183         11.50238378         12.97574485         13.31835613         13.35479232         14.78861798
      -1.6	          9.24062166         10.86424953         12.35885612         12.64670655         12.69248919         14.13541274
      -1.8	          8.62891587         10.19998599         11.72323443         11.94781920         12.01391863         13.46209328
      -2.0	          7.99372598          9.50784776         11.06764497         11.21996450         11.31840886         12.76694076
      -2.2	          7.33372260          8.78605442         10.39000911         10.46216675         10.60509981         12.04747172
      -2.4	          6.64759648          8.03305903          9.66155973          9.70039688          9.87308210         11.29895383
      -2.6	          5.93394005          7.24714484          8.83998522          8.97397601          9.12101621         10.50750599
      -2.8	          5.19106467          6.42598712          7.97851931          8.22583031          8.34676401          9.64886199
      -3.0	          4.41763682          5.56980479          7.08120435          7.45129248          7.54977493          8.72979676
      -3.2	          3.61155669          4.67481449          6.14519750          6.64740430          6.72604106          7.76395470
      -3.4	          2.77117121          3.74130253          5.17197162          5.81225538          5.87433299          6.75646838
      -3.6	          1.89441168          2.76793241          4.16175881          4.94324087          4.99177943          5.70872012
      -3.8	          0.97829429          1.75102704          3.11198415          4.03654816          4.07315291          4.61916062
      -4.0	          0.02037643          0.69103524          2.02603594          3.08933052          3.11611529          3.48978804
      -4.2	         -0.98299139         -0.41447647          0.90412984          2.09735056          2.11507695          2.32070583
      -4.4	         -2.03594644         -1.56734645         -0.25206267          1.05555519          1.05761434          1.12044112
      -4.6	         -3.14327975         -2.76951467         -1.44040492         -0.15248146         -0.03812870         -0.02180398
      -4.8	         -4.30958491         -4.02223483         -2.65725138         -1.44137660         -1.18967383         -1.17958480
      -5.0	         -5.54077802         -5.32882725         -3.90325719         -2.77491392         -2.40212580         -2.39562564
      -5.2	         -6.84136844         -6.69130399         -5.17813966         -4.15278428         -3.67787199         -3.67406702
      -5.4	         -8.21206495         -8.10998522         -6.48103449         -5.57196288         -5.01733156         -5.01493021
      -5.6	         -9.65404712         -9.58710667         -7.81751881         -7.03512725         -6.42147460         -6.41964568
      -5.8	        -11.16473551        -11.12295457         -9.19247371         -8.54042352         -7.88905621         -7.88814914
      -6.0	        -12.74598318        -12.72058264        -10.61752389        -10.09630138         -9.42240826         -9.42134746
