       0.0	         63.33621502         63.33626670         63.33640020         66.14984858
      -0.2	         62.33050623         62.33055248         62.33067539         65.11710246
      -0.4	         61.30879406         61.30883380         61.30894746         64.06754302
      -0.6	         60.27066273         60.27069671         60.27080122         63.00092497
      -0.8	         59.21567272         59.21570137         59.21579777         61.91632017
      -1.0	         58.14336693         58.14339118         58.14348056         60.81354973
      -1.2	         57.05365268         57.05367090         57.05375159         59.69223164
      -1.4	         55.94565774         55.94567151         55.94574586         58.55142041
      -1.6	         54.81921359         54.81922265         54.81929078         57.39110369
      -1.8	         53.67361757         53.67362367         53.67368678         56.21015114
      -2.0	         52.50875607         52.50875839         52.50881640         55.00845906
      -2.2	         51.32395938         51.32396038         51.32401328         53.78534716
      -2.4	         50.11879740         50.11880130         50.11884777         52.54049558
      -2.6	         48.89272680         48.89273300         48.89277447         51.27284936
      -2.8	         47.64556754         47.64557613         47.64561207         49.98230351
      -3.0	         46.37652219         46.37653252         46.37656445         48.66793560
      -3.2	         45.08506275         45.08507421         45.08510357         47.32920008
      -3.4	         43.77106609         43.77107853         43.77110503         45.96578620
      -3.6	         42.43365940         42.43367225         42.43369722         44.57688146
      -3.8	         41.07247666         41.07248951         41.07251366         43.16182483
      -4.0	         39.68709065         39.68710305         39.68712677         41.72022711
      -4.2	         38.27668915         38.27670066         38.27672543         40.25131438
      -4.4	         36.84105596         36.84106628         36.84109242         38.75425547
      -4.6	         35.37929775         35.37930653         35.37933580         37.22866395
      -4.8	         33.89134291         33.89134961         33.89138202         35.67405837
      -5.0	         32.37607501         32.37607940         32.37611720         34.08940321
      -5.2	         30.83315074         30.83315239         30.83319702         32.47418041
      -5.4	         29.26190537         29.26190692         29.26195868         30.82766458
      -5.6	         27.66160738         27.66161263         27.66167183         29.14900269
      -5.8	         26.03147088         26.03148077         26.03154986         27.43714620
      -6.0	         24.37079371         24.37081210         24.37088997         25.69063449
      -6.2	         22.67928511         22.67929937         22.67939418         23.91291502
      -6.4	         20.95467981         20.95469749         20.95481153         22.09670597
      -6.6	         19.19639516         19.19641655         19.19655251         20.24338102
      -6.8	         17.40185110         17.40192836         17.40209036         18.34718075
      -7.0	         15.57092008         15.57102657         15.57124039         16.41537248
      -7.2	         13.70085541         13.70099857         13.70128230         14.44266716
      -7.4	         11.78879962         11.78899199         11.78937348         12.42715205
      -7.6	          9.83247155          9.83256738          9.83303343         10.37108979
      -7.8	          7.82538918          7.82552261          7.82613722          8.26414628
      -8.0	          5.76132495          5.76182061          5.76284743          6.10512411
      -8.2	          3.63866454          3.63934233          3.64078545          3.89825924
      -8.4	          1.45090606          1.45179393          1.45373784          1.63870044
      -8.6	         -0.80189889         -0.80139254         -0.79953215         -0.67064476
      -8.8	         -3.13361507         -3.13224040         -3.12885776         -3.04675735
      -9.0	         -5.53203171         -5.53034349         -5.52565772         -5.47571971
      -9.2	         -7.99298079         -7.99211780         -7.98770015         -7.95784503
      -9.4	        -10.53559495        -10.53412102        -10.52610387        -10.51242313
      -9.6	        -13.13840427        -13.13757506        -13.12765268        -13.12255151
      -9.8	        -15.79548202        -15.79476543        -15.79077699        -15.78789827
     -10.0	        -18.52632259        -18.52584494        -18.52261312        -18.52142937
