       0.0	         13.12716876         13.31752823         13.42693073         14.96105859
      -0.2	         12.68626433         12.86205232         12.96277679         14.48322448
      -0.4	         12.22894686         12.39099560         12.48360156         13.98770176
      -0.6	         11.75431475         11.90348334         11.98853616         13.47331073
      -0.8	         11.26141340         11.39858325         11.47665237         12.93876250
      -1.0	         10.74926032         10.87533308         10.94699098         12.38272957
      -1.2	         10.21679677         10.33268625         10.39850549         11.80374404
      -1.4	          9.66291225          9.76953995          9.83009183         11.20027506
      -1.6	          9.08646852          9.18476469          9.24062166         10.57076889
      -1.8	          8.48627764          8.57717931          8.62891587          9.91364732
      -2.0	          7.86108119          7.94553076          7.99372598          9.22729205
      -2.2	          7.20953287          7.28847948          7.33372260          8.51004560
      -2.4	          6.53028783          6.60469708          6.64759648          7.76045333
      -2.6	          5.82186319          5.89273353          5.93394005          6.97688830
      -2.8	          5.08242764          5.15081475          5.19106467          6.15718054
      -3.0	          4.31057250          4.37755771          4.41763682          5.30122055
      -3.2	          3.50376026          3.57059385          3.61155669          4.40567087
      -3.4	          2.66001713          2.72803244          2.77117121          3.47048653
      -3.6	          1.77662493          1.84729820          1.89441168          2.49450337
      -3.8	          0.84945419          0.92435911          0.97829429          1.47498390
      -4.0	         -0.12516521         -0.04481885          0.02037643          0.41322788
      -4.2	         -1.15274748         -1.06710993         -0.98299139         -0.69034354
      -4.4	         -2.23942077         -2.15209286         -2.03594644         -1.83257186
      -4.6	         -3.39139536         -3.31072098         -3.14327975         -3.00957769
      -4.8	         -4.61299257         -4.54763238         -4.30958491         -4.22267926
      -5.0	         -5.90732016         -5.86028268         -5.54077802         -5.48339864
      -5.2	         -7.27425479         -7.24315294         -6.84136844         -6.80307325
      -5.4	         -8.71090850         -8.69141973         -8.21206495         -8.18664715
      -5.6	        -10.21581816        -10.20410189         -9.65404712         -9.63749975
      -5.8	        -11.78630286        -11.77967419        -11.16473550        -11.15437096
      -6.0	        -13.42310405        -13.41956141        -12.74598318        -12.73966309
      -6.2	        -15.12437782        -15.12259387        -14.39459264        -14.39088265
      -6.4	        -16.88963674        -16.88855112        -16.10933105        -16.10724756
      -6.6	        -18.71840728        -18.71720369        -17.88909337        -17.88800036
      -6.8	        -20.61008563        -20.60856005        -19.73303961        -19.73254638
      -7.0	        -22.56434889        -22.56252749        -21.64064332        -21.63965589
      -7.2	        -24.58101165        -24.57900260        -23.61196714        -23.61059503
      -7.4	        -26.66336571        -26.65927252        -25.64992672        -25.64990433
      -7.6	        -28.80081492        -28.79862654        -27.74250140        -27.74247591
      -7.8	        -31.00836423        -31.00312747        -29.90577633        -29.90577013
      -8.0	        -33.27420359        -33.26804452        -32.12754610        -32.12754197
      -8.2	        -35.60125310        -35.59462402        -34.41094455        -34.41094124
      -8.4	        -37.98334159        -37.98120887        -36.75166690        -36.74839251
      -8.6	        -40.43322696        -40.43138206        -39.15913234        -39.15910533
      -8.8	        -42.94469213        -42.94278586        -41.62855791        -41.62853184
      -9.0	        -45.52737706        -45.51764503        -44.16539924        -44.16539633
      -9.2	        -48.16271531        -48.15219159        -46.75850038        -46.74940742
      -9.4	        -50.84814065        -50.84667350        -49.40746352        -49.40743430
      -9.6	        -53.60543498        -53.60404736        -52.12367034        -52.12363608
      -9.8	        -56.43666901        -56.42389522        -54.90706989        -54.90706517
     -10.0	        -59.30409162        -59.30267944        -57.74077710        -57.74073337
