       -5.0000000000       31.6414619014       32.8251634829
       -5.2000000000       31.7773873294       32.8693881781
       -5.4000000000       31.9564356270       32.9534383000
       -5.6000000000       32.1897126871       33.0887479853
       -5.8000000000       32.3850907428       33.1837400165
       -6.0000000000       32.6453556862       33.3420745328
       -6.2000000000       32.9333170490       33.5278838578
       -6.4000000000       33.1741682763       33.6682575273
       -6.6000000000       33.4717137714       33.8695304297
       -6.8000000000       33.7894226987       34.0982174087
       -7.0000000000       34.0452529807       34.2754083956
       -7.2000000000       34.3173111005       34.4816928593
       -7.4000000000       34.6312416181       34.7438036153
       -7.6000000000       34.8745748466       34.9486759548
       -7.8000000000       35.0721032438       35.1191855618
       -8.0000000000       35.3790857297       35.4080759111
       -8.2000000000       35.6186835964       35.6360434197
       -8.4000000000       35.7922825004       35.8024213014
       -8.6000000000       36.0422272430       36.0480155930
       -8.8000000000       36.2984248819       36.3016610062
       -9.0000000000       36.4911328855       36.4929071760
       -9.2000000000       36.6357425562       36.6366977106
       -9.4000000000       36.9229850982       36.9234904735
       -9.6000000000       37.1476678013       37.1479308460
       -9.8000000000       37.3099552519       37.3100900421
      -10.0000000000       37.4836414948       37.4837095408
      -10.2000000000       37.7507055740       37.7507394377
      -10.4000000000       37.9557011173       37.9557177400
      -10.6000000000       38.0987071879       38.0987152404
      -10.8000000000       38.2816453524       38.2816492039
      -11.0000000000       38.5388942536       38.5388960733
      -11.2000000000       38.7343471032       38.7343479528
      -11.4000000000       38.8680582958       38.8680586879
      -11.6000000000       39.0357287124       39.0357288914
      -11.8000000000       39.2929373047       39.2929373855
      -12.0000000000       39.4885469111       39.4885469472
