       -5.0000000000       31.6211604500       32.7975241682
       -5.2000000000       31.7573907934       32.8419035863
       -5.4000000000       31.9366485297       32.9260297925
       -5.6000000000       32.1700194412       33.0613284579
       -5.8000000000       32.3653485769       33.1562129660
       -6.0000000000       32.6253858285       33.3143333632
       -6.2000000000       32.9128950830       33.4998116273
       -6.4000000000       33.1530167140       33.6397273984
       -6.6000000000       33.4495035400       33.8404071102
       -6.8000000000       33.7657936475       34.0683598294
       -7.0000000000       34.0198604405       34.2446737111
       -7.2000000000       34.2898887074       34.4499415679
       -7.4000000000       34.6016485509       34.7109052246
       -7.6000000000       34.8427975987       34.9145143055
       -7.8000000000       35.0382156868       35.0836628431
       -8.0000000000       35.3431981821       35.3711146532
       -8.2000000000       35.5809059248       35.5975862652
       -8.4000000000       35.7527066714       35.7624289137
       -8.6000000000       36.0009234243       36.0064634207
       -8.8000000000       36.2554439812       36.2585356851
       -9.0000000000       36.4465109859       36.4482031807
       -9.2000000000       36.5895051432       36.5904145984
       -9.4000000000       36.8751503928       36.8756308212
       -9.6000000000       37.0982491513       37.0984988249
       -9.8000000000       37.2589627550       37.2590905016
      -10.0000000000       37.4310830640       37.4311474599
