
% ----------------------------------------------------------------------
% Date             23-Aug-2022
% Computer type    GLNXA64
% Input file:      model.input.wc_spinless
% Level Lattice.ordering:  
%   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35
% Dmrg configuration: B_l * * B_r contracted to B_L B_R so below are the corresponding Hamiltonians
% E_tot is the total energy of the superblock calculated previously and H_LR = E_tot - H_L - H_R
% ----------------------------------------------------------------------

% Iter    HL                HL_rel       HR                  HR_rel     H_LR               H_LR_rel       E_TOT              E_TOT_rel
 A_in = [...
 39     -7.63693395582679 -1.51e+00      0.08644034475022  1.71e-02     12.61729005777854  2.49e+00      5.06679644670197  1.00e+00
 40      3.70392541025323  7.31e-01      8.86440282582481  1.75e+00     -7.50258971158870 -1.48e+00      5.06573852448934  1.00e+00
 41     11.29090870746342  2.24e+00     16.17663540002045  3.21e+00    -22.42716593164847 -4.45e+00      5.04037817583540  1.00e+00
 42     15.53343245021685  3.05e+00     19.53025044896919  3.84e+00    -29.97506102926360 -5.89e+00      5.08862186992245  1.00e+00
 43     19.32737008553631  3.75e+00     22.82273297964316  4.43e+00    -36.99792374415050 -7.18e+00      5.15217932102897  1.00e+00
 44     11.36752116249309  2.20e+00     16.55910329901716  3.20e+00    -22.75235179071765 -4.40e+00      5.17427267079261  1.00e+00
 45      3.26013565606315  6.24e-01      8.26012027583545  1.58e+00     -6.29920292292247 -1.21e+00      5.22105300897613  1.00e+00
 46      1.71859401904094  3.29e-01      6.88078307558018  1.32e+00     -3.37613636519403 -6.46e-01      5.22324072942709  1.00e+00
 47      0.10383175074476  1.99e-02      5.32577935755477  1.02e+00     -0.20197845631527 -3.86e-02      5.22763265198426  1.00e+00
 48      0.05522314361326  1.06e-02      5.28041951187386  1.01e+00     -0.10795569843742 -2.07e-02      5.22768695704970  1.00e+00
 49      0.00151169525894  2.89e-04      5.22925046304399  1.00e+00     -0.00297774343606 -5.70e-04      5.22778441486687  1.00e+00
 50      0.00078643061977  1.50e-04      5.22854912773050  1.00e+00     -0.00155063214027 -2.97e-04      5.22778492620999  1.00e+00
 51      0.00004924945818  9.42e-06      5.22783472010411  1.00e+00     -0.00009823391796 -1.88e-05      5.22778573564433  1.00e+00
 52      0.00003841213226  7.35e-06      5.22782394212398  1.00e+00     -0.00007661086118 -1.47e-05      5.22778574339506  1.00e+00
 53      0.00003185466987  6.09e-06      5.22781742891760  1.00e+00     -0.00006353067838 -1.22e-05      5.22778575290910  1.00e+00
 54      0.00002183111635  4.18e-06      5.22780747227113  1.00e+00     -0.00004354601314 -8.33e-06      5.22778575737434  1.00e+00
