% Dmrg Iterartion step, Dmrg sweep, left, right, ModeTrafoLocal, ModeTrafoGlobal, Collect RDMs
% ModeTrafoLocal = 0/1/2 not called/called but rejected/accepted, ModeTrafoGlobal = 0/1/2 not called/Global2RDM/GlobalNo, Collect RDMs=0/1 not collected/collected
 A_in = [...
        1    0,     1    32   0 0 0
        2    0,     2    31   0 0 0
        3    0,     3    30   0 0 0
        4    0,     4    29   0 0 0
        5    0,     5    28   0 0 0
        6    0,     6    27   0 0 0
        7    0,     7    26   0 0 0
        8    0,     8    25   0 0 0
        9    0,     9    24   0 0 0
       10    0,    10    23   0 0 0
       11    0,    11    22   0 0 0
       12    0,    12    21   0 0 0
       13    0,    13    20   0 0 0
       14    0,    14    19   0 0 0
       15    0,    15    18   0 0 0
       16    1,    16    17   0 0 0
       17    1,    17    16   0 0 0
       18    1,    18    15   0 0 0
       19    1,    19    14   0 0 0
       20    1,    20    13   0 0 0
       21    1,    21    12   0 0 0
       22    1,    22    11   0 0 0
       23    1,    23    10   0 0 0
       24    1,    24     9   0 0 0
       25    1,    25     8   0 0 0
       26    1,    26     7   0 0 0
       27    1,    27     6   0 0 0
       28    1,    28     5   0 0 0
       29    1,    29     4   0 0 0
       30    1,    30     3   0 0 0
       31    1,    31     2   0 0 0
       32    1,    32     1   0 0 0
       33    1,    31     2   0 0 0
       34    1,    30     3   0 0 0
       35    1,    29     4   0 0 0
       36    1,    28     5   0 0 0
       37    1,    27     6   0 0 0
       38    1,    26     7   0 0 0
       39    1,    25     8   0 0 0
       40    1,    24     9   0 0 0
       41    1,    23    10   0 0 0
       42    1,    22    11   0 0 0
       43    1,    21    12   0 0 0
       44    1,    20    13   0 0 0
       45    1,    19    14   0 0 0
       46    1,    18    15   0 0 0
       47    1,    17    16   0 0 0
       48    2,    16    17   0 0 0
       49    2,    15    18   0 0 0
       50    2,    14    19   0 0 0
       51    2,    13    20   0 0 0
       52    2,    12    21   0 0 0
       53    2,    11    22   0 0 0
       54    2,    10    23   0 0 0
       55    2,     9    24   0 0 0
       56    2,     8    25   0 0 0
       57    2,     7    26   0 0 0
       58    2,     6    27   0 0 0
       59    2,     5    28   0 0 0
       60    2,     4    29   0 0 0
       61    2,     3    30   0 0 0
       62    2,     2    31   0 0 0
       63    2,     1    32   0 0 0
       64    2,     2    31   0 0 0
       65    2,     3    30   0 0 0
       66    2,     4    29   0 0 0
       67    2,     5    28   0 0 0
       68    2,     6    27   0 0 0
       69    2,     7    26   0 0 0
       70    2,     8    25   0 0 0
       71    2,     9    24   0 0 0
       72    2,    10    23   0 0 0
       73    2,    11    22   0 0 0
       74    2,    12    21   0 0 0
       75    2,    13    20   0 0 0
       76    2,    14    19   0 0 0
       77    2,    15    18   0 0 0
       78    3,    16    17   0 0 0
       79    3,    17    16   0 0 0
       80    3,    18    15   0 0 0
       81    3,    19    14   0 0 0
       82    3,    20    13   0 0 0
       83    3,    21    12   0 0 0
       84    3,    22    11   0 0 0
       85    3,    23    10   0 0 0
       86    3,    24     9   0 0 0
       87    3,    25     8   0 0 0
       88    3,    26     7   0 0 0
       89    3,    27     6   0 0 0
       90    3,    28     5   0 0 0
       91    3,    29     4   0 0 0
       92    3,    30     3   0 0 0
       93    3,    31     2   0 0 0
       94    3,    32     1   0 0 0
       95    3,    31     2   0 0 0
       96    3,    30     3   0 0 0
       97    3,    29     4   0 0 0
       98    3,    28     5   0 0 0
       99    3,    27     6   0 0 0
      100    3,    26     7   0 0 0
      101    3,    25     8   0 0 0
      102    3,    24     9   0 0 0
      103    3,    23    10   0 0 0
      104    3,    22    11   0 0 0
      105    3,    21    12   0 0 0
      106    3,    20    13   0 0 0
      107    3,    19    14   0 0 0
      108    3,    18    15   0 0 0
      109    3,    17    16   0 0 0
      110    4,    16    17   0 0 0
      111    4,    15    18   0 0 0
      112    4,    14    19   0 0 0
      113    4,    13    20   0 0 0
      114    4,    12    21   0 0 0
      115    4,    11    22   0 0 0
      116    4,    10    23   0 0 0
      117    4,     9    24   0 0 0
      118    4,     8    25   0 0 0
      119    4,     7    26   0 0 0
      120    4,     6    27   0 0 0
      121    4,     5    28   0 0 0
      122    4,     4    29   0 0 0
      123    4,     3    30   0 0 0
      124    4,     2    31   0 0 0
      125    4,     1    32   0 0 0
      126    4,     2    31   0 0 0
      127    4,     3    30   0 0 0
      128    4,     4    29   0 0 0
      129    4,     5    28   0 0 0
      130    4,     6    27   0 0 0
      131    4,     7    26   0 0 0
      132    4,     8    25   0 0 0
      133    4,     9    24   0 0 0
      134    4,    10    23   0 0 0
      135    4,    11    22   0 0 0
      136    4,    12    21   0 0 0
      137    4,    13    20   0 0 0
      138    4,    14    19   0 0 0
      139    4,    15    18   0 0 0
      140    5,    16    17   0 0 0
      141    5,    17    16   0 0 0
      142    5,    18    15   0 0 0
      143    5,    19    14   0 0 0
      144    5,    20    13   0 0 0
      145    5,    21    12   0 0 0
      146    5,    22    11   0 0 0
      147    5,    23    10   0 0 0
      148    5,    24     9   0 0 0
      149    5,    25     8   0 0 0
      150    5,    26     7   0 0 0
      151    5,    27     6   0 0 0
      152    5,    28     5   0 0 0
      153    5,    29     4   0 0 0
      154    5,    30     3   0 0 0
      155    5,    31     2   0 0 0
      156    5,    32     1   0 0 0
      157    5,    31     2   0 0 0
      158    5,    30     3   0 0 0
      159    5,    29     4   0 0 0
      160    5,    28     5   0 0 0
      161    5,    27     6   0 0 0
      162    5,    26     7   0 0 0
      163    5,    25     8   0 0 0
      164    5,    24     9   0 0 0
      165    5,    23    10   0 0 0
