100.16 46.816
103.57 47.8184
110.33 48.8208
116.92 47.2877
130.4 48.7618
133.57 46.1675
139.03 44.3396
146.75 43.0425
154.42 41.0967
160.98 39.092
164.21 37.3821
165.2 35.5542
167.3 33.5495
168.3 31.7807
174.86 29.8349
176.99 28.3019
186.94 27.0637
191.24 25.7808
191.32 25.7665
196.69 22.7005
204.38 20.9906
214.35 19.9882
217.59 18.3962
221.94 16.7453
234.12 15.4481
238.49 14.092
247.33 12.8538
257.3 11.8514
262.78 10.4953
282.79 9.434
287.14 7.783
297.09 6.4858
310.4 5.3656
320.34 3.9505
333.65 2.8892
344.75 2.1226
361.42 1.1792
373.65 0.7075
388.12 0.1769
