     35      1024       0.0      139.39243      136.19772        3.19472
        35      1024      -0.5      134.64673      131.57665        3.07008
        35      1024      -1.0      129.75696      126.77348        2.98348
        35      1024      -1.5      124.71389      121.78147        2.93241
        35      1024      -2.0      119.50327      116.59480        2.90847
        35      1024      -2.5      114.10776      111.21153        2.89624
        35      1024      -3.0      108.50716      105.62799        2.87917
        35      1024      -3.5      102.67893       99.84022        2.83871
        35      1024      -4.0       96.59912       93.83793        2.76119
        35      1024      -4.5       90.24484       87.60401        2.64083
        35      1024      -5.0       83.59303       81.11326        2.47977
        35      1024      -5.5       76.62467       74.33143        2.29324
        35      1024      -6.0       69.32577       67.22213        2.10364
        35      1024      -6.5       61.68075       59.75486        1.92589
        35      1024      -7.0       53.67325       51.90969        1.76356
        35      1024      -7.5       45.28567       43.68446        1.60122
        35      1024      -8.0       36.50237       35.08456        1.41781
        35      1024      -8.5       27.30395       26.11210        1.19185
        35      1024      -9.0       17.65748       16.74740        0.91009
        35      1024      -9.5        7.50199        6.92314        0.57886
        35      1024     -10.0       -3.23758       -3.51017        0.27260
        35      1024     -10.5      -14.61253      -14.71251        0.09998
        35      1024     -11.0      -26.63340      -26.67298        0.03958
        35      1024     -11.5      -39.29821      -39.31845        0.02024
        35      1024     -12.0      -52.61201      -52.63011        0.01810
        35      1024     -12.5      -66.58964      -66.61690        0.02725
        35      1024     -13.0      -81.24436      -81.28149        0.03713
        35      1024     -13.5      -96.56498      -96.60461        0.03964
        35      1024     -14.0     -112.52166     -112.55700        0.03534
        35      1024     -14.5     -129.09881     -129.12845        0.02964
        35      1024     -15.0     -146.31671     -146.34315        0.02644
        35      1024     -15.5     -164.22287     -164.24744        0.02457
        35      1024     -16.0     -182.85546     -182.87613        0.02067
        35      1024     -16.5     -202.20496     -202.21870        0.01373
        35      1024     -17.0     -222.21534     -222.22165        0.00631
        35      1024     -17.5     -242.82297     -242.82420        0.00123
        35      1024     -18.0     -263.99118     -263.99108       -0.00009
        35      1024     -18.5     -285.72340     -285.72635        0.00295
        35      1024     -19.0     -308.05894     -308.06989        0.01095
        35      1024     -19.5     -331.05507     -331.07906        0.02399
        35      1024     -20.0     -354.76016     -354.80069        0.04053


