       0.0	         51.30042549         53.96966170         56.00453443         56.68343117         56.70836483         58.72570239
      -0.2	         50.39585081         53.03686884         55.07585599         55.72456797         55.74714819         57.77032249
      -0.4	         49.47543977         52.08739924         54.13215822         54.74845743         54.77114771         56.79932594
      -0.6	         48.53838837         51.12031485         53.17287036         53.75404489         53.77973107         55.81195517
      -0.8	         47.58462730         50.13559850         52.19774266         52.74127163         52.77293529         54.80803072
      -1.0	         46.61344783         49.13226743         51.20622840         51.70909639         51.75010881         53.78679054
      -1.2	         45.62451819         48.10997842         50.19794256         50.65710508         50.71105633         52.74781808
      -1.4	         44.61721737         47.06796088         49.17235763         49.58445628         49.65527927         51.69042734
      -1.6	         43.59108098         46.00563900         48.12899937         48.49052995         48.58241337         50.61403032
      -1.8	         42.54557910         44.92238149         47.06733800         47.37465609         47.49205389         49.51795898
      -2.0	         41.48032940         43.81769288         45.98685406         46.23637834         46.38387815         48.40157203
      -2.2	         40.39483848         42.69096521         44.88683833         45.07524548         45.25747852         47.26401948
      -2.4	         39.28830527         41.54125534         43.76594024         43.89093728         44.11221916         46.10394762
      -2.6	         38.16046054         40.36818131         42.61985752         42.68695357         42.94781487         44.91953647
      -2.8	         37.01051970         39.17084013         41.42305263         41.48720464         41.76363140         43.70607406
      -3.0	         35.83818794         37.94889255         40.16854206         40.29786910         40.55938155         42.45291903
      -3.2	         34.64271904         36.70136907         38.88097335         39.09267809         39.33433704         41.15060047
      -3.4	         33.42362377         35.42768480         37.56449899         37.86634328         38.08800482         39.80633254
      -3.6	         32.18024514         34.12715881         36.21923316         36.61739530         36.81981999         38.42747841
      -3.8	         30.91199203         32.79903753         34.84472197         35.34496333         35.52912438         37.01640599
      -4.0	         29.61847057         31.44291851         33.44065867         34.04842348         34.21547026         35.57396003
      -4.2	         28.29869421         30.05759347         32.00600918         32.72685172         32.87785185         34.09938633
      -4.4	         26.95222983         28.64262345         30.54041242         31.37963124         31.51573247         32.59269533
      -4.6	         25.57846631         27.19728514         29.04330511         30.00601994         30.12833965         31.05353082
      -4.8	         24.17641813         25.72045360         27.51377088         28.60504354         28.71459661         29.48096936
      -5.0	         22.74560854         24.21161585         25.95151446         27.17595718         27.27373223         27.87503671
      -5.2	         21.28509675         22.66977232         24.35582934         25.71771016         25.80452638         26.23519938
      -5.4	         19.79441493         21.09509603         22.72693048         24.22959696         24.30635082         24.56292558
      -5.6	         18.27165326         19.48168888         21.06163711         22.70873324         22.76922211         22.85670305
      -5.8	         16.71649166         17.83460518         19.36260190         21.09491094         21.15655876         21.22353290
      -6.0	         15.12820176         16.15430726         17.63097627         19.32301198         19.56998684         19.62844370
      -6.2	         13.50287333         14.42792380         15.85902956         17.50155154         17.94378362         17.99291012
      -6.4	         11.84088541         12.66531845         14.05418922         15.64820551         16.27977242         16.32235658
      -6.6	         10.13930031         10.86140906         12.21458534         13.75823550         14.57346213         14.60995101
      -6.8	          8.39508902          9.01426920         10.34083458         11.83116500         12.82115817         12.85191848
      -7.0	          6.60467584          7.12203209          8.43430961          9.86679932         11.01892336         11.04434548
      -7.2	          4.76379865          5.18303821          6.49720679          7.86532862          9.16300953          9.18350660
      -7.4	          2.86724906          3.19495538          4.53171366          5.82610056          7.24954849          7.26598911
      -7.6	          0.91211320          1.15988795          2.54439267          3.75569634          5.27451131          5.29163824
      -7.8	         -1.11368731         -0.93655942          0.52429459          1.63293918          3.12477725          3.24210971
      -8.0	         -3.20647766         -3.08426981         -1.51688273         -0.52274214          0.93769564          1.14396054
      -8.2	         -5.36977980         -5.28847725         -3.58605658         -2.71864273         -1.28279073         -1.01637301
      -8.4	         -7.60370386         -7.55123877         -5.68949550         -4.95709086         -3.53463201         -3.23957428
      -8.6	         -9.90043776         -9.86789796         -7.82994229         -7.23285892         -5.80594946         -5.51443712
      -8.8	        -12.27818120        -12.25668103        -10.03302708         -9.57016256         -8.11867817         -7.87375609
      -9.0	        -14.71580941        -14.70063222        -12.29270885        -11.94978908        -10.44265796        -10.28430310
      -9.2	        -17.20705981        -17.20028230        -14.61584471        -14.37424779        -12.77630860        -12.74144433
      -9.4	        -19.78585009        -19.77364749        -17.03155530        -16.86974629        -15.29272634        -15.27839771
      -9.6	        -22.41581687        -22.40333949        -19.51906756        -19.41510435        -17.88909159        -17.87365207
      -9.8	        -25.10886754        -25.09571235        -22.08524400        -22.02076228        -20.54788812        -20.53107077
     -10.0	        -27.84717676        -27.84408944        -24.71352728        -24.67552439        -23.24783164        -23.24542102
