       0.0	         38.34031976         40.82334866         42.71072320         43.36047720         43.38706266         45.24883246
      -0.2	         37.55923588         40.01252387         41.90297354         42.52277784         42.54441035         44.41323689
      -0.4	         36.76222750         39.18482564         41.08038449         41.66757982         41.68710840         43.56215896
      -0.6	         35.94887028         38.33974014         40.24253235         40.79430285         40.81487717         42.69511921
      -0.8	         35.11842937         37.47629720         39.38884285         39.90188522         39.92709972         41.81134575
      -1.0	         34.27059547         36.59420420         38.51892450         38.98995341         39.02368236         40.91045198
      -1.2	         33.40454145         35.69231963         37.63213625         38.05727330         38.10389909         39.99153512
      -1.4	         32.51986445         34.77019917         36.72801433         37.10332628         37.16754410         39.05407169
      -1.6	         31.61602433         33.82713667         35.80600730         36.12735411         36.21420909         38.09735398
      -1.8	         30.69223944         32.86213162         34.86541559         35.12830050         35.24327457         37.12043260
      -2.0	         29.74806823         31.87464373         33.90559443         34.10570274         34.25443223         36.12252893
      -2.2	         28.78275662         30.86372592         32.92543037         33.05897546         33.24707576         35.10239016
      -2.4	         27.79570232         29.82860021         31.92175506         31.98985405         32.22069050         34.05827583
      -2.6	         26.78637459         28.76864710         30.86882275         30.92283876         31.17484140         32.98659395
      -2.8	         25.75389287         27.68276655         29.74921258         29.87342871         30.10874537         31.87729448
      -3.0	         24.69774245         26.57034982         28.59530399         28.80803577         29.02190155         30.71589647
      -3.2	         23.61717220         25.43051613         27.41134332         27.72079209         27.91359604         29.50660182
      -3.4	         22.51151960         24.26244812         26.19728765         26.61026179         26.78310058         28.25970929
      -3.6	         21.37994145         23.06526753         24.95248371         25.47541465         25.62962736         26.97862689
      -3.8	         20.22178222         21.83810902         23.67631264         24.31539132         24.45229929         25.66411654
      -4.0	         19.03616320         20.58009457         22.36804632         23.12923400         23.25021778         24.31601763
      -4.2	         17.82229387         19.29032579         21.02704432         21.91598764         22.02236957         22.93400536
      -4.4	         16.57935749         17.96789602         19.65272724         20.67462883         20.76764181         21.51772457
      -4.6	         15.30632314         16.61107866         18.24402334         19.40384387         19.48420812         20.06605103
      -4.8	         14.00253747         15.22210075         16.80267393         18.10303482         18.17323944         18.58206753
      -5.0	         12.66622851         13.79557721         15.32514024         16.76973529         16.82887383         17.06159014
      -5.2	         11.29632035         12.33197318         13.81231125         15.40244034         15.44251898         15.51430845
      -5.4	          9.89062824         10.82715740         12.26142572         13.89556535         13.99881071         14.04900709
      -5.6	          8.44835176          9.28524648         10.67717232         12.26700490         12.55692012         12.59716064
      -5.8	          6.96668405          7.70186628          9.05756441         10.59886689         11.07362293         11.10669548
      -6.0	          5.44370228          6.07838119          7.40625175          8.89681690          9.54709627          9.57535725
      -6.2	          3.87339019          4.40447939          5.71621059          7.14950029          7.96857090          7.99012237
      -6.4	          2.25511237          2.68929332          4.00024305          5.37178134          6.34106999          6.35856177
      -6.6	          0.57958109          0.91981479          2.24956266          3.54854575          4.65277782          4.66560568
      -6.8	         -1.15508915         -0.89789682          0.47488470          1.69051329          2.90719267          2.91689944
      -7.0	         -2.95492959         -2.76855246         -1.32488476         -0.20643495          1.10015669          1.10768067
      -7.2	         -4.82377686         -4.69435861         -3.15009818         -2.14336822         -0.76990791         -0.76338404
      -7.4	         -6.76001311         -6.67322852         -5.00051882         -4.11734265         -2.70317932         -2.69378249
      -7.6	         -8.77325747         -8.71741225         -6.88992921         -6.14100218         -4.73063168         -4.69493800
      -7.8	        -10.84897663        -10.81412287         -8.81508993         -8.20219336         -6.78882239         -6.74776862
      -8.0	        -13.00101118        -12.97920650        -10.79685729        -10.31739677         -8.88880647         -8.87329896
      -8.2	        -15.20993453        -15.19742618        -12.83228284        -12.47461765        -11.05287999        -11.05081106
      -8.4	        -17.48905399        -17.48179944        -14.94086484        -14.68777714        -13.29722349        -13.29618340
      -8.6	        -19.83234289        -19.82824269        -17.12563275        -16.95582591        -15.60431271        -15.60387034
      -8.8	        -22.24779861        -22.24036403        -19.39755969        -19.28674446        -17.98367425        -17.97580002
      -9.0	        -24.71899770        -24.71129721        -21.74223548        -21.67297386        -20.41657705        -20.40782546
      -9.2	        -27.24281926        -27.24231367        -24.15223293        -24.11214711        -22.90124499        -22.89981048
      -9.4	        -29.83848269        -29.83812484        -26.64556250        -26.61895203        -25.45791336        -25.45566505
      -9.6	        -32.49674819        -32.49609631        -29.21137695        -29.18696607        -28.07673812        -28.07374137
      -9.8	        -35.21712974        -35.21617167        -31.84628451        -31.81682704        -30.75745875        -30.75352684
     -10.0	        -38.01255615        -38.00128518        -34.55314333        -34.54785580        -33.51352673        -33.49894550
