       0.0	          0.42701600          0.43134258          0.83888537          0.86275992          0.86293084          0.86350091
      -0.2	          0.63604300          1.65440990          3.06267848          4.45843166          4.48757928          4.48768743
      -0.4	          1.50023955          2.44825086          3.81515860          4.69119677          4.71495482          4.71547544
      -0.6	          7.66390350          7.67067674          7.68242834          7.68525464          8.55197495          9.33425757
      -0.8	         11.26138947         11.39854541         11.47660600         11.64413237         11.65708851         11.66478981
      -1.0	         10.74923657         10.87529531         10.94694450         12.38264727         12.59041034         12.70685955
      -1.2	         10.21677382         10.33264963         10.39846038         11.80366075         12.00397368         12.11595001
      -1.4	          9.66289027          9.76950477          9.83004842         11.20019110         11.39406147         11.50225130
      -1.6	          9.08644689          9.18473011          9.24057893         10.57068222         10.75905752         10.86411448
      -1.8	          8.48625618          8.57714512          8.62887352          9.91355713         10.09731306         10.19984750
      -2.0	          7.86105951          7.94549645          7.99368332          9.22719683          9.40713416          9.50770411
      -2.2	          7.20951067          7.28844475          7.33367914          8.50994387          8.68679737          8.78590484
      -2.4	          6.53026374          6.60465991          6.64754992          7.76034152          7.93479784          8.03289575
      -2.6	          5.82183536          5.89269142          5.93388784          6.97676242          7.14947582          7.24695851
      -2.8	          5.08239895          5.15077337          5.19101088          6.15704221          6.32863228          6.42580318
      -3.0	          4.31053380          4.37750204          4.41756832          5.30105573          5.47231619          5.56956470
      -3.2	          3.50371873          3.57053861          3.61148238          4.40548344          4.57709364          4.67457762
      -3.4	          2.65996393          2.72796551          2.77107927          3.47026253          3.64311224          3.74102604
      -3.6	          1.77654498          1.84719327          1.89428026          2.49421866          2.66920206          2.76754612
      -3.8	          0.84935604          0.92425063          0.97813860          1.47464547          1.65234589          1.75062464
      -4.0	         -0.12530717         -0.04496452          0.02016405          0.41280148          0.59327486          0.69053581
      -4.2	         -1.15296009         -1.06731347         -0.98328893         -0.69088725         -0.50946439         -0.41510540
      -4.4	         -2.23974682         -2.15239205         -2.03637214         -1.83326629         -1.65666788         -1.56814725
      -4.6	         -3.39189733         -3.31117923         -3.14389479         -3.01045746         -2.84953988         -2.77054095
      -4.8	         -4.61372091         -4.54836357         -4.31063871         -4.22396741         -4.08977300         -4.02362055
      -5.0	         -5.90838039         -5.86131075         -5.54230617         -5.48511137         -5.38215300         -5.33059247
      -5.2	         -7.27579568         -7.24453463         -6.84315208         -6.80500307         -6.73098316         -6.69346538
      -5.4	         -8.71297765         -8.69326915         -8.21446838         -8.18916111         -8.13850413         -8.11271771
      -5.6	        -10.21851597        -10.20651922         -9.65719562         -9.64073027         -9.60744590         -9.59052574
      -5.8	        -11.78974615        -11.78269870        -11.16963889        -11.15918865        -11.13804781        -11.12733331
      -6.0	        -13.42745496        -13.42337151        -12.75199518        -12.74554095        -12.73250966        -12.72593267
      -6.2	        -15.12974003        -15.12737482        -14.40184034        -14.39795578        -14.39012558        -14.38619087
      -6.4	        -16.89603308        -16.89458813        -16.11786230        -16.11558244        -16.11098079        -16.10868270
      -6.6	        -18.72584859        -18.72481226        -17.89896296        -17.89766097        -17.89500491        -17.89369731
      -6.8	        -20.61877150        -20.61786279        -19.74431106        -19.74359483        -19.74207294        -19.74135558
      -7.0	        -22.57451820        -22.57361060        -21.65333567        -21.65296976        -21.65207107        -21.65170550
      -7.2	        -24.59290989        -24.59194698        -23.62565569        -23.62550093        -23.62490407        -23.62475010
      -7.4	        -26.67546155        -26.67385310        -25.66235009        -25.66232198        -25.66144624        -25.66141910
      -7.6	        -28.81669353        -28.81566248        -27.75887641        -27.75887369        -27.75845156        -27.75844979
      -7.8	        -31.02360999        -31.02200407        -29.92080589        -29.92080541        -29.91996427        -29.91996371
      -8.0	        -33.29084854        -33.28920016        -32.14364232        -32.14364104        -32.14278828        -32.14278812
      -8.2	        -35.61978736        -35.61816890        -34.42855732        -34.42855471        -34.42771695        -34.42771557
      -8.4	        -38.00864361        -38.00753777        -36.77401241        -36.77397307        -36.77366543        -36.77362744
      -8.6	        -40.46113266        -40.46003913        -39.18302986        -39.18297453        -39.18274294        -39.18268913
      -8.8	        -42.97511626        -42.97404721        -41.65387508        -41.65380624        -41.65362407        -41.65355693
      -9.0	        -45.55288059        -45.55112790        -44.18829580        -44.18829393        -44.18735018        -44.18735003
      -9.2	        -48.19000159        -48.18818744        -46.78277978        -46.78277833        -46.78177297        -46.78177259
      -9.4	        -50.88614440        -50.88510600        -49.43714388        -49.43709362        -49.43681553        -49.43676750
      -9.6	        -53.64586883        -53.64486761        -52.15489232        -52.15485630        -52.15444895        -52.15441533
      -9.8	        -56.46946959        -56.46740695        -54.93598382        -54.93598286        -54.93471326        -54.93471206
     -10.0	        -59.34908520        -59.34812694        -57.77496005        -57.77493950        -57.77425466        -57.77423681
