       0.0	         51.30042549         51.30044481         51.30062754         53.96966170         53.96995411         53.97048511
      -0.2	         50.39585081         50.39586639         50.39603892         53.03686884         53.03714874         53.03768034
      -0.4	         49.47543977         49.47545016         49.47560938         52.08739924         52.08766086         52.08817982
      -0.6	         48.53838837         48.53839616         48.53854680         51.12031485         51.12056795         51.12109276
      -0.8	         47.58462730         47.58462986         47.58477016         50.13559850         50.13583212         50.13634828
      -1.0	         46.61344667         46.61344783         46.61357765         49.13226743         49.13248723         49.13300010
      -1.2	         45.62451281         45.62451819         45.62463406         48.10997842         48.11018121         48.11068444
      -1.4	         44.61720858         44.61721737         44.61732168         47.06796088         47.06814959         47.06864855
      -1.6	         43.59106926         43.59108098         43.59117520         46.00563900         46.00581542         46.00631279
      -1.8	         42.54556491         42.54557910         42.54566509         44.92238149         44.92254742         44.92304868
      -2.0	         41.48031269         41.48032940         41.48040673         43.81769288         43.81784670         43.81834552
      -2.2	         40.39481932         40.39483848         40.39490674         42.69096521         42.69110502         42.69159262
      -2.4	         39.28828459         39.28830527         39.28836788         41.54125534         41.54138639         41.54187858
      -2.6	         38.16043855         38.16046054         38.16051717         40.36818131         40.36830278         40.36879060
      -2.8	         37.01049702         37.01051970         37.01057287         39.17084013         39.17095614         39.17145287
      -3.0	         35.83816497         35.83818794         35.83823740         37.94889255         37.94900046         37.94949686
      -3.2	         34.64269626         34.64271904         34.64276629         36.70136907         36.70147304         36.70197410
      -3.4	         33.42360158         33.42362377         33.42366954         35.42768480         35.42778715         35.42829037
      -3.6	         32.18022410         32.18024514         32.18029096         34.12715881         34.12726108         34.12777312
      -3.8	         30.91197257         30.91199203         30.91203934         32.79903753         32.79914277         32.79966854
      -4.0	         29.61845353         29.61847057         29.61851935         31.44291851         31.44302531         31.44355108
      -4.2	         28.29867981         28.29869421         28.29874729         30.05759347         30.05770785         30.05825226
      -4.4	         26.95221874         26.95222983         26.95228871         28.64262345         28.64274706         28.64331036
      -4.6	         25.57845916         25.57846631         25.57853206         27.19728514         27.19741947         27.19799534
      -4.8	         24.17641540         24.17641813         24.17649488         25.72045360         25.72060489         25.72121491
      -5.0	         22.74560854         22.74561104         22.74569827         24.21161585         24.21178615         24.21242572
      -5.2	         21.28509675         21.28510542         21.28520368         22.66977232         22.66996533         22.67064519
      -5.4	         19.79441493         19.79442727         19.79453812         21.09509603         21.09527916         21.09599179
      -5.6	         18.27165326         18.27168423         18.27180363         19.48168888         19.48197340         19.48269645
      -5.8	         16.71649166         16.71653796         16.71667646         17.83460518         17.83493438         17.83570946
      -6.0	         15.12820176         15.12822783         15.12839909         16.15430726         16.15451276         16.15534794
      -6.2	         13.50287333         13.50296194         13.50316164         14.42792380         14.42835563         14.42927251
      -6.4	         11.84088541         11.84100553         11.84125810         12.66531845         12.66581497         12.66684141
      -6.6	         10.13930031         10.13946039         10.13978352         10.86140906         10.86197467         10.86312341
      -6.8	          8.39508902          8.39530383          8.39573020          9.01426920          9.01491691          9.01622394
      -7.0	          6.60467584          6.60496672          6.60554150          7.12203209          7.12277722          7.12427938
      -7.2	          4.76379865          4.76418792          4.76496030          5.18303821          5.18388667          5.18560044
      -7.4	          2.86724906          2.86776996          2.86881396          3.19495538          3.19592521          3.19788988
      -7.6	          0.91211320          0.91241026          0.91355512          1.15988795          1.16039783          1.16225028
      -7.8	         -1.11368731         -1.11280598         -1.11097629         -0.93655942         -0.93529077         -0.93273030
      -8.0	         -3.20647766         -3.20538036         -3.20302830         -3.08426981         -3.08280207         -3.07988442
      -8.2	         -5.36977980         -5.36850311         -5.36560976         -5.28847725         -5.28680347         -5.28356393
      -8.4	         -7.60370386         -7.60230699         -7.59879616         -7.55123877         -7.54930544         -7.54573647
      -8.6	         -9.90043776         -9.89952807         -9.89671510         -9.86789796         -9.86680422         -9.86366841
      -8.8	        -12.27818120        -12.27702725        -12.27173282        -12.25668103        -12.25411554        -12.24971377
      -9.0	        -14.71580941        -14.71509965        -14.70832895        -14.70063222        -14.69801659        -14.69275891
      -9.2	        -17.20705981        -17.20627957        -17.20332257        -17.20028230        -17.19737257        -17.19405842
      -9.4	        -19.78585009        -19.78573874        -19.77559878        -19.77364749        -19.77204616        -19.76403625
      -9.6	        -22.41581687        -22.41577835        -22.40437457        -22.40333949        -22.40225835        -22.39310480
      -9.8	        -25.10886754        -25.10885410        -25.09634098        -25.09571235        -25.09508062        -25.08483100
     -10.0	        -27.84717676        -27.84716460        -27.84409238        -27.84408944        -27.83617405        -27.83581983
